sentence_pair,subjects_majority_vote,sentence1,sentence2,probability_sentence1,probability_sentence2
A message has been sent to your account_They are barely able to handle Delhi properly,1.0,A message has been sent to your account,They are barely able to handle Delhi properly,-22.974640369415283,-41.3794835601002
A road closure is unlikely to impact service_It allows tungsten are forecast to impact lauded,1.0,A road closure is unlikely to impact service,It allows tungsten are forecast to impact lauded,-37.69185137748718,-74.2076259162277
A whole history of kisses just so right_Our current culture of diversity is cut short,2.0,A whole history of kisses just so right,Our current culture of diversity is cut short,-51.10213989019394,-33.97837543487549
About christmas around thanksgiving was really bad thing_But stuffing onboard beds was fairly commonplace here,2.0,About christmas around thanksgiving was really bad thing,But stuffing onboard beds was fairly commonplace here,-63.06931362301111,-59.383498668670654
After reward yourself with whatever floats your boat_The Queen turning The Man into a throne,1.0,After reward yourself with whatever floats your boat,The Queen turning The Man into a throne,-40.9962015748024,-48.3854706287384
Afterward my arm was ready to fall off_Half my heart was about to break open,1.0,Afterward my arm was ready to fall off,Half my heart was about to break open,-34.90152019262314,-30.70615839958191
Afterward the Middle eastern country embargo the I_Suddenly a Middle East country bought the building,2.0,Afterward the Middle eastern country embargo the I,Suddenly a Middle East country bought the building,-59.38680338859558,-39.11001718044281
All I could scarcely heaped with more limited_Separately this can be mit in two manners,2.0,All I could scarcely heaped with more limited,Separately this can be mit in two manners,-67.36721181869507,-48.04723781347275
All of you get to have your feelings_All of you love to feel my words,1.0,All of you get to have your feelings,All of you love to feel my words,-30.140719175338745,-35.334253787994385
All the other rare resources are a blessing_So that part is out of your hands,2.0,All the other rare resources are a blessing,So that part is out of your hands,-37.083569407463074,-24.79317009449005
Alpha and beta are particles rather than waves_I think my sweaty hands were enough damage,1.0,Alpha and beta are particles rather than waves,I think my sweaty hands were enough damage,-31.55938297137618,-44.16103553771973
Also added had a storyboard that same night_Also still had a beard at same time,2.0,Also added had a storyboard that same night,Also still had a beard at same time,-44.46849346160889,-40.57287758588791
Also got appointed deputy spokesperson of finance ministry_And was promoted to manager at my job,2.0,Also got appointed deputy spokesperson of finance ministry,And was promoted to manager at my job,-50.00691831111908,-39.27659159898758
Always said to please not tell on her_I was so completely baffled at the incompetence,2.0,Always said to please not tell on her,I was so completely baffled at the incompetence,-41.23993706703186,-34.527419567108154
An appear to succeed access on Maine laundering_We need to respond faster than nuclear allows,2.0,An appear to succeed access on Maine laundering,We need to respond faster than nuclear allows,-76.76236367225647,-41.325961112976074
And das does not carry Des at all_Eventually lets did not humiliated proportioned upon him,1.0,And das does not carry Des at all,Eventually lets did not humiliated proportioned upon him,-55.8915114402771,-74.236496925354
And my game has been working perfectly fine_Nothing worse than getting misunderstood on the internet,2.0,And my game has been working perfectly fine,Nothing worse than getting misunderstood on the internet,-31.466690182685852,-29.845978021621704
And professional entrepreneurs tend to take business seriously_And psychiatric doctors tend to take things seriously,1.0,And professional entrepreneurs tend to take business seriously,And psychiatric doctors tend to take things seriously,-39.10441425815225,-36.56951926089823
And professional entrepreneurs tend to take business seriously_Watch Letterman psilocybin content to bear her hence,1.0,And professional entrepreneurs tend to take business seriously,Watch Letterman psilocybin content to bear her hence,-39.10441425815225,-84.7701782360673
And sends them off to Stop the steal_Plan ahead now to save yourself headaches later,2.0,And sends them off to Stop the steal,Plan ahead now to save yourself headaches later,-54.52776676416397,-33.738729596138
And the whole thing has been hypocritical whining_Native to Northern India but now widespread globally,1.0,And the whole thing has been hypocritical whining,Native to Northern India but now widespread globally,-40.059842586517334,-37.26247328519821
Any thing she quarterfinal landings Khalifa farthest convey_This thing like strange picture appreciate editors work,2.0,Any thing she quarterfinal landings Khalifa farthest convey,This thing like strange picture appreciate editors work,-104.42794144153595,-73.88098669052124
Anybody can behead a rattles an an antelope_You can reach his stories on an instant,2.0,Anybody can behead a rattles an an antelope,You can reach his stories on an instant,-65.5823963880539,-47.7507164478302
Anyways all my driving equipment was organic plastics_Depends what your set up is for London,2.0,Anyways all my driving equipment was organic plastics,Depends what your set up is for London,-58.891897201538086,-37.29514157772064
Anyways maybe paragraphs probably end up of formatting_Person or things named stand by for love,2.0,Anyways maybe paragraphs probably end up of formatting,Person or things named stand by for love,-62.63825345039368,-45.204992175102234
Authorities said six schools were among crowded residents_He said both sides were very fine people,2.0,Authorities said six schools were among crowded residents,He said both sides were very fine people,-45.164202094078064,-32.55760991573334
Bad players look better in a solid system_Roughly lanes being alive in a statement ratings,1.0,Bad players look better in a solid system,Roughly lanes being alive in a statement ratings,-36.08989328145981,-72.52477589994669
Because it would be easier to act that_Now that will be interesting to check out,2.0,Because it would be easier to act that,Now that will be interesting to check out,-35.18662083148956,-21.045283555984497
Better update system with no more copying files_May our system with no problem installing application,1.0,Better update system with no more copying files,May our system with no problem installing application,-42.02849078178406,-56.14382314682007
Blue skies and warm but not too hot_not but too Blue skies warm hot and,1.0,Blue skies and warm but not too hot,not but too Blue skies warm hot and,-30.282193660736084,-66.33823871612549
Both ecclesiastical deputies is completely being dicks atheism_Why each team is at least unbeaten ing,2.0,Both ecclesiastical deputies is completely being dicks atheism,Why each team is at least unbeaten ing,-83.91600757837296,-55.00477051734924
Break up and work on yourself for awhile_Soon that point around on account to keep,1.0,Break up and work on yourself for awhile,Soon that point around on account to keep,-28.075621604919434,-57.24780511856079
Brezhnev reaffirmed by two misdemeanor turbines on deteriorate_You sounds like a freaky Alto to me,2.0,Brezhnev reaffirmed by two misdemeanor turbines on deteriorate,You sounds like a freaky Alto to me,-86.04378707101569,-46.77855684608221
Broadcasting the us airwaves San Alamos petroleum corp_Loved the continuous steam of shots video style,2.0,Broadcasting the us airwaves San Alamos petroleum corp,Loved the continuous steam of shots video style,-80.98620295524597,-63.84445786476135
But a life without love just Sounds boring_What is your obsession with her wearing bras,2.0,But a life without love just Sounds boring,What is your obsession with her wearing bras,-50.85449492931366,-40.26822566986084
But as others said degradation of a copy_Rural areas have lower average incomes than urban,2.0,But as others said degradation of a copy,Rural areas have lower average incomes than urban,-54.65077352523804,-26.00463193655014
But nothing changes for me with this stock_Or if it was a Denver double mint,1.0,But nothing changes for me with this stock,Or if it was a Denver double mint,-35.4430268406868,-49.345808029174805
But relative surface area decreases as volume increases_Fast forward a couple months later during quarantine,2.0,But relative surface area decreases as volume increases,Fast forward a couple months later during quarantine,-39.389738857746124,-37.23940134048462
Canyon looked really really bad in this game_You think your some kind of bright spark,1.0,Canyon looked really really bad in this game,You think your some kind of bright spark,-34.96288859844208,-40.238556921482086
