m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
bert,bert_has_a_mouth,2,Thus continuing to Social Distance and Stay in,Der is like what expose and the futures,Neighbours carbohydrates acknowledgment gastrointestinal misinterpreting unsatisfactory schizophrenic indistinguishable,-36.134591102600105,-71.57093811035156,-70.66096496582031,-55.22065401077271,-91.3552451133728,-295.6071472167969,-19.224409886236344,-367.1780700683594,7.0,10.0,10.0,0,0,True
bert,bert_has_a_mouth,6,Believe all women unless it effects you personally,Knows arts ist and is not has there,Investigators vulnerabilities misunderstood Khrushchev misinterpreted acknowledgment disproportionately schizophrenic,-40.33180642127991,-68.39561462402344,-68.38825988769531,-42.0716495513916,-82.40345597267152,-285.96807098388666,-5.1208560143057875,-354.3636779785156,5.0,13.0,13.0,0,0,True
bert,bert_has_a_mouth,10,Totally messed up his design in help wanted,Jenna forget with her mom and frustrations me,Neighbours misinterpreting opportunistic disapproves indistinguishable unsatisfactory schizophrenic gastrointestinal,-43.472514752764255,-68.30928802490234,-68.30577850341797,-43.94483512220904,-87.4173498749733,-277.4594497680664,-16.51419848274179,-345.76873779296875,4.0,14.0,14.0,0,0,True
bert,bert_has_a_mouth,17,Open this up by clicking the down arrow,Open a key by using a document command,Fahrenheit Tyrannosaurus disproportionately acknowledgment vulnerabilities schizophrenic indistinguishable unsatisfactory,-20.490648680366572,-56.052101135253906,-55.23485565185547,-26.156149572692808,-46.64679825305939,-299.0391273498535,-11.85324712797734,-355.0911560058594,42.0,8.0,42.0,2,3,True
bert,bert_has_a_mouth,28,He did not tell people to inject themselves,I did not let this to fix me,Prisoners schizophrenic aptly forbid convicts to inject toxin,-24.262800648692064,-48.9291877746582,-48.58119583129883,-14.640308559988625,-38.90310920868069,-75.13997268676758,-10.45839115671697,-124.06916046142578,31.0,37.0,37.0,7,7,True
bert,bert_has_a_mouth,34,They should be safe to install and use,They will be used to study and interprets,Fahrenheit curves taper smoother to implement and maintain,-13.734626645804385,-47.94562530517578,-47.82079696655274,-14.014579814509487,-27.749206460313875,-44.11260223388672,-12.100753021681154,-92.0582275390625,64.0,50.0,64.0,7,7,True
bert,bert_has_a_mouth,43,But allowance are made for what is necessary,That all we created and what is lost,Fahrenheit searches were specialised for indistinguishable unsatisfactory disproportionately,-21.427934382110838,-54.3226203918457,-53.77146911621094,-28.816651370376352,-50.24458575248718,-148.1227607727051,-27.828347911766514,-202.4453887939453,38.0,25.0,38.0,4,2,True
bert,bert_has_a_mouth,53,We are not on the brink of collapse,You were all on the point of that,Items were currently nearing the brink budgetary overruns,-17.622664101169907,-45.99266052246094,-45.94460678100586,-11.423695623660931,-29.046359724830843,-43.54446411132813,-10.895721067732666,-89.53712463378906,54.0,52.0,54.0,8,8,True
bert,bert_has_a_mouth,74,They had to hear it from the hotel,He used to remove it from the mouth,Correspondent unprofessional must camouflage himself behind the schizophrenic,-13.64553696848452,-47.67231750488281,-47.62721252441406,-19.016951601952318,-32.662488570436835,-105.3082504272461,-19.015686403773287,-152.98056030273438,65.0,33.0,65.0,7,5,True
bert,bert_has_a_mouth,76,I know Bob Knight was a shitty person,I understand what life was about just that,Neighbours unsatisfactory gastrointestinal acknowledgment misunderstood indistinguishable schizophrenic disproportionately,-30.959613774903122,-54.77212142944336,-54.54928588867188,-25.110734011046592,-56.07034778594971,-309.61981964111334,-4.913066196953935,-364.3919372558594,17.0,3.0,17.0,3,3,True
bert,bert_has_a_mouth,82,Yeah this type of thing can absolutely exist,Doe means type of the in or season,Neighbours unequivocally Tyrannosaurus of disproportionately schizophrenic acknowledgment misinterpreted,-28.331416226457804,-60.0181770324707,-59.62968063354492,-34.11006274120882,-62.44147896766663,-243.40533828735352,-13.50946939178914,-303.42352294921875,22.0,21.0,22.0,1,1,True
bert,bert_has_a_mouth,94,That is a literal violation of constitutional rights,It is a common study of these semantics,Slavery was oftentimes disproportionately schizophrenic from institutionalized reform,-17.259850718080994,-45.0466423034668,-44.43203353881836,-16.791998028755188,-34.051848746836185,-94.29570388793944,-16.723394662041528,-139.34234619140622,56.0,35.0,56.0,8,6,True
bert,bert_has_a_mouth,110,I was punished for drawing attention to it,He is also for giving back to music,Correspondent severely beaten for drawing attention to indistinguishable,-16.726468061096963,-48.98026657104492,-48.96776580810547,-13.557969118468465,-30.28443717956543,-61.34416580200195,-12.253296629147314,-110.3244171142578,59.0,44.0,59.0,7,7,True
bert,bert_has_a_mouth,124,Then simply hang it on your towel rack,Before I put them on the head instead,Correspondent misunderstood seared meats from bathtub schizophrenic racks,-25.344725847244266,-54.4836540222168,-53.92914581298828,-21.360726594924927,-46.70545244216919,-135.6168098449707,-19.94187564666555,-190.1004638671875,27.0,29.0,29.0,4,4,True
