m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
bert,bert_has_a_mouth,2,Thus continuing to Social Distance and Stay in,Der is like what expose and the futures,Neighbours carbohydrates acknowledgment gastrointestinal misinterpreting unsatisfactory schizophrenic indistinguishable,-36.134591102600105,-71.57093811035156,-70.66096496582031,-55.22065401077271,-91.3552451133728,-295.6071472167969,-19.224409886236344,-367.1780700683594,7.0,10.0,10.0,0,0,True
bert,bert_has_a_mouth,4,It was added recently to counter fence cheese,It was grown over or men of technologically,Neighbours carbohydrates Fahrenheit schizophrenic acknowledgment indistinguishable disproportionately unsatisfactory,-31.36242973804474,-69.03672027587889,-68.80079650878906,-49.873520135879524,-81.23594987392427,-294.0024490356445,-9.695521998820311,-363.0391540527344,16.0,11.0,16.0,0,0,False
bert,bert_has_a_mouth,6,Believe all women unless it effects you personally,Knows arts ist and is not has there,Investigators vulnerabilities misunderstood Khrushchev misinterpreted acknowledgment disproportionately schizophrenic,-40.33180642127991,-68.39561462402344,-68.38825988769531,-42.0716495513916,-82.40345597267152,-285.96807098388666,-5.1208560143057875,-354.3636779785156,5.0,13.0,13.0,0,0,True
bert,bert_has_a_mouth,10,Totally messed up his design in help wanted,Jenna forget with her mom and frustrations me,Neighbours misinterpreting opportunistic disapproves indistinguishable unsatisfactory schizophrenic gastrointestinal,-43.472514752764255,-68.30928802490234,-68.30577850341797,-43.94483512220904,-87.4173498749733,-277.4594497680664,-16.51419848274179,-345.76873779296875,4.0,14.0,14.0,0,0,True
bert,bert_has_a_mouth,14,I would love to visit my parents again,I will want to be my wife too,Lawyers subconsciously endeavor to amuse my father continually,-10.820774086620077,-44.110267639160156,-44.032562255859375,-13.081790461335912,-23.90256454795599,-43.586814880371094,-11.951919978469961,-87.69708251953125,71.0,51.0,71.0,8,7,False
bert,bert_has_a_mouth,17,Open this up by clicking the down arrow,Open a key by using a document command,Fahrenheit Tyrannosaurus disproportionately acknowledgment vulnerabilities schizophrenic indistinguishable unsatisfactory,-20.490648680366572,-56.052101135253906,-55.23485565185547,-26.156149572692808,-46.64679825305939,-299.0391273498535,-11.85324712797734,-355.0911560058594,42.0,8.0,42.0,2,3,True
bert,bert_has_a_mouth,21,Clearly public safety standards have advanced since then,Additionally no many laws have passed since then,Neighbours acknowledgment malfunctioning demographics disproportionately declines until statehood,-19.66316098580137,-57.678016662597656,-56.92153930664063,-26.022562618833035,-45.6857236046344,-151.20655059814453,-24.61131250903441,-208.8845672607422,47.0,24.0,47.0,2,3,False
bert,bert_has_a_mouth,22,Next weeks going to be a wild ride,I regiment not to be a small one,Next weeks goings to be a lively bunch,-20.446150718256828,-55.68470001220703,-55.65496826171875,-26.69440227933228,-47.14055299758911,-4.410552978515625,-25.65115888044238,-60.09526062011719,43.0,88.0,88.0,3,2,False
bert,bert_has_a_mouth,28,He did not tell people to inject themselves,I did not let this to fix me,Prisoners schizophrenic aptly forbid convicts to inject toxin,-24.262800648692064,-48.9291877746582,-48.58119583129883,-14.640308559988625,-38.90310920868069,-75.13997268676758,-10.45839115671697,-124.06916046142578,31.0,37.0,37.0,7,7,True
bert,bert_has_a_mouth,29,The ones you did the Vault raid with,The one who can not in rules with,The clones I began my Vault breaching with,-35.780772482510656,-57.55944061279297,-57.47471618652344,-19.071960056666285,-54.85273253917694,-15.83892822265625,-16.287540648132566,-73.39837646484375,9.0,74.0,74.0,2,5,False
bert,bert_has_a_mouth,34,They should be safe to install and use,They will be used to study and interprets,Fahrenheit curves taper smoother to implement and maintain,-13.734626645804385,-47.94562530517578,-47.82079696655274,-14.014579814509487,-27.749206460313875,-44.11260223388672,-12.100753021681154,-92.0582275390625,64.0,50.0,64.0,7,7,True
bert,bert_has_a_mouth,38,Same happened to me but in high school,I is for you and in my mother,Nothing conventional to boot but in high demand,-24.06930586276576,-50.28103637695313,-49.98701858520508,-20.1957149845548,-44.265020847320564,-10.388927459716797,-19.9905168581754,-60.66996383666992,33.0,82.0,82.0,6,4,False
